date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2021-06-15,63,51,31,97,98,67,70,55,21720,20190,1530,2400,10230,7560,31,93,240,10620,,2021-06-15T01:32:01+02:00,2021-06-15T07:34:01+02:00,69.94,55,44,0.13,19.5,81,61,100,78,40,87,100,354,2580,300,8035,5711,663,384,378,15,0,0,1.46875,0,64,56,45,92,93,94,37,90,72
2021-06-16,56,55,11,72,74,59,86,39,26280,21210,5070,840,15630,4740,41,81,570,13980,,2021-06-16T01:07:03+02:00,2021-06-16T08:25:03+02:00,65.16,54,55,0.57,18.75,87,75,100,78,71,95,100,536,2738,250,10151,9578,712,393,272,58,5,0,1.5625,0,60,44,44,93,93,57,70,89,34
2021-06-17,55,43,14,90,90,68,67,40,20700,18300,2400,1050,11370,5880,22,88,180,10530,,2021-06-17T02:03:01+02:00,2021-06-17T07:48:01+02:00,69.78,60,56,0.59,19,87,58,78,95,71,95,100,423,2596,200,9740,7756,694,415,286,45,0,0,1.46875,2,44,43,39,78,97,55,15,89,31
2021-06-18,61,32,2,97,83,81,94,97,18000,15330,2670,90,7710,7530,28,85,1020,9450,,2021-06-18T00:27:22+02:00,2021-06-18T05:27:22+02:00,63.05,54,55,0.33,18.25,88,51,100,95,71,95,100,335,2485,300,6311,6143,791,323,262,26,1,37,1.4375,0,64,53,30,87,99,77,72,88,57
2021-06-19,81,100,68,96,88,71,75,28,25740,23190,2550,4620,16230,2340,51,90,360,12780,,2021-06-19T03:51:33+02:00,2021-06-19T11:00:33+02:00,60.59,54,59,0.19,18.625,82,79,95,78,40,79,100,365,2500,450,8307,6744,503,564,366,7,0,0,1.40625,1,77,87,46,84,99,89,73,88,92
2021-06-20,64,52,41,93,76,62,99,52,24960,20490,4470,3180,11250,6060,34,82,900,12420,,2021-06-20T01:06:32+02:00,2021-06-20T08:02:32+02:00,65.44,55,54,0.25,19,74,53,78,78,40,68,100,291,2441,450,6753,5213,724,431,275,10,0,0,1.40625,2,70,57,45,99,100,84,57,88,88
2021-06-21,64,61,53,47,93,62,78,61,25680,22890,2790,4050,15720,3120,35,89,420,13140,,2021-06-21T00:37:53+02:00,2021-06-21T07:45:53+02:00,64.09,56,55,0.55,17.625,74,51,95,78,40,54,100,198,2351,250,4268,3034,750,357,193,6,1,133,1.34375,1,61,57,47,90,96,58,58,87,49
2021-06-22,49,45,10,57,79,52,70,43,22680,18840,3840,780,14280,3780,46,83,240,11250,,2021-06-22T01:44:03+02:00,2021-06-22T08:02:03+02:00,64.47,55,57,-0.05,19.25,80,58,100,78,71,65,100,414,2593,250,5631,6615,677,436,291,35,0,1,1.46875,0,59,32,44,91,90,100,51,87,37
2021-06-23,65,61,58,57,83,61,94,54,27240,23040,4200,4410,14850,3780,39,85,990,14280,,2021-06-23T00:32:02+02:00,2021-06-23T08:06:02+02:00,63.66,53,56,0.14,19,77,66,78,78,40,71,100,382,2540,300,6060,7072,701,423,275,41,0,0,1.4375,2,65,59,46,89,91,93,76,87,24
2021-06-24,48,37,14,51,62,51,83,69,22020,16650,5370,1050,12180,3420,45,76,510,11160,,2021-06-24T00:55:02+02:00,2021-06-24T07:02:02+02:00,60.82,54,55,0.02,18.5,73,64,100,60,40,62,100,1,1537,200,56,18,1,181,2,0,0,0,0.96875,0,59,30,39,87,94,100,68,87,31
